Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
23-Jun;;;;;1;;8;;;4;13;;;1;2;;;;;;;3;;1;;;1;1;;;;;;;;35
24-Jun;;;;;1;;8;;;2;9;;1;;1;;;2;3;;;3;;6;1;;;;1;;;;;;;38
25-Jun;;2;;;;;6;;2;;14;;;;7;;;2;3;;1;3;;3;;;1;3;;;;;;;;47
26-Jun;;;;;;;8;;2;;32;;1;2;3;;;;2;1;3;4;;2;;;;2;1;;;;;;;63
27-Jun;;;;;;;8;;;;17;;;1;;;;1;1;;1;5;1;2;;;;;;;;;;;;37
28-Jun;;2;;;;;1;;;;18;;;;4;;;3;;;2;;;4;;;;;;;;;;;;34
29-Jun;;;;;1;;;;;;32;;;;4;;;6;2;;4;;;1;;;;;;1;;;;;;51
30-Jun;1;1;;;1;;7;;1;;30;;;2;3;;;1;7;;1;1;;4;;;;;1;;8;;;2;;71
1-Jul;;1;;;;;;;1;10;33;;;;1;;;3;3;;1;5;;;;;;;;;;;;;;58
2-Jul;;1;;;;;6;;;10;22;;;;;;;;8;;;2;1;;;;;;1;;1;;;1;;53
3-Jul;;;;;;;5;;;;21;;1;4;5;;;;3;;1;1;;7;;;;1;;;;;;;;49
4-Jul;;2;;;1;;;;;15;27;;;;3;;;1;;;;3;;;1;;;;;;;;;;;53
5-Jul;;2;1;;;;6;;;15;24;;;2;2;;;;1;;4;;1;24;;;;;;;;;;;;82
6-Jul;;3;;;;;;1;1;15;33;;1;;2;;;;1;;3;4;;1;;;1;;;;2;;;2;;70
7-Jul;;2;;;;;12;;2;5;26;;2;1;3;;;1;6;;2;1;;2;;;;;;;1;;;2;;68
8 Jul;;;;;;;4;;2;5;23;;;;1;;;6;1;;2;1;;3;;;;;;;1;;;1;;50
9-Jul;;1;;;1;1;6;;4;;23;;;3;3;;;1;1;1;1;5;1;4;;;;2;;;;;;;;58
10-Jul;;;1;;;;;;;10;27;;1;;2;;;2;5;;2;1;;;;;;;;;;;;1;;52
11-Jul;;1;;;2;;10;;;;36;;;;;;;;2;;3;4;;8;;;;;;;;;;;;66
12-Jul;1;;;;;;10;;;5;20;;4;;5;;;3;3;;3;4;;6;;;;4;;;2;1;;;;71
13-Jul;;;;;;1;6;;;;18;;1;5;5;;;4;1;;3;2;;3;;;;1;;;;;;;;50
14-Jul;1;;;;;;4;1;;;21;;;;3;;;1;4;;;5;1;13;;;;;;;;;;;;54
15-Jul;2;2;;;;;5;;1;18;28;;;;5;;;3;4;;;;1;12;;;;;;;3;;;3;;87
16-Jul;1;3;1;;;1;7;;;9;26;;;;5;;;;;;1;5;;15;;;;;;;1;;;1;;76
17-Jul;;3;;;;;6;;1;18;37;;;;2;;;1;3;;2;7;;2;;;;;;;;;;2;;84
18-Jul;;1;1;;;;8;;2;15;11;;;;7;;;3;2;;;3;;2;;;;;1;1;;;;2;;59
19-Jul;1;4;1;;;1;9;;;23;52;;1;9;3;;;5;1;1;2;1;;9;;;;;2;;1;;;1;;127
20-Jul;;4;;;;;9;;;36;32;;1;;5;;;2;1;;;3;;2;;;;;;;;;;1;;96
21-Jul;;2;1;;;1;8;;4;15;28;;;;6;;;2;2;;;4;;3;;;;;;;3;;;2;;81
22-Jul;;;;;;1;5;;2;70;35;;3;2;5;;;;2;;1;7;;3;;;;2;;;;;;1;;139
23-Jul;1;2;;;;1;2;;1;60;29;;3;;1;;;;;;7;9;1;;;;;;;;;;;;;117
24-Jul;;;;;;;4;;;38;29;;;;;;;5;5;;;3;1;3;;;;1;;;;;;;;89
25-Jul;;;;;;1;;;;10;18;;2;4;3;;;;;;1;3;;3;;;;2;;;2;;;;;49
26-Jul;;;2;;;1;4;;;10;17;;2;2;5;;;1;4;;2;4;;9;1;;;1;1;;;;;1;;67
27-Jul;;;;;;;10;;;10;19;;;1;2;;;3;1;;1;2;;5;;;;1;;;;;;2;;57
28-Jul;;;;;;2;15;;;8;22;;;;3;;1;1;1;;3;1;;4;;;1;;1;;;;;;;63
29-Jul;2;;;;;;14;;2;12;33;;;;4;;;;;;;3;;3;;;;;;;;;;1;;74
30-Jul;;;2;;2;;19;2;2;12;14;;2;;8;;;;7;;3;3;;2;;;;2;1;1;;1;;;;83
31-Jul;;;1;;;1;14;;;18;21;;2;3;1;;;2;;1;3;6;;;;;;;;;;;;;;73
1-Aug;;;;;;1;12;;;13;21;;1;;6;;1;;1;;;;;5;;;;;;;;;;1;;62
2-Aug;3;;;;1;;1;;;18;;;4;;;;;5;;;1;7;;;;1;;1;;;1;;;;;43
3-Aug;2;;2;;;;16;;;10;22;;4;;;;1;2;2;;1;2;1;;;;1;;;;;;;;;66
4-Aug;;;1;;1;;14;;6;;40;;1;;2;;;1;4;;;6;;7;;;;;;;;1;;2;;86
5-Aug;1;;;;;;14;;;15;18;;;;1;;;3;6;;;2;2;1;;;;;;;;;;1;;64
6-Aug;;;1;;;;13;;1;20;18;;1;4;;;;1;4;;1;1;;1;;;;;2;;1;;;;;69
7-Aug;;1;1;;;;12;;4;9;17;;4;1;3;;;;4;;3;9;;4;;;;;;;;;;;;72
8-Aug;;;1;;1;2;11;;3;11;22;;1;;2;;4;1;2;;;1;1;;;;;1;;;1;;;;;65
9 Aug;1;;;;;1;6;;4;3;21;;4;;3;;1;;11;;2;2;;1;;;1;2;;;;;;2;;65
10 Aug;;;;;1;1;2;;;5;17;;4;;1;;;2;3;;;1;;;;;;4;;;;;;1;;42
11 Aug;;;;;;;12;;4;3;21;;3;1;1;;;3;2;;3;4;;2;;;;;;;;;;;;59
12 Aug;2;;2;;2;1;15;;1;20;16;;2;;2;;1;1;2;2;;2;1;1;;;;3;;1;;1;;1;;79
13 Aug;1;;;;;;11;;1;14;22;;1;2;4;;1;;;1;;5;;1;;;;;;;;1;;;;65
14 Aug;2;;1;;;2;4;;1;9;14;;4;1;2;;;;2;1;;4;;4;;;;;;;;;;2;;53
15 Aug;2;;;;;;6;;;6;21;;1;;3;;;2;1;;1;3;;;;;;;3;;;;;1;;50
16 Aug;;1;1;;;;1;;2;6;35;;23;;;;1;;;2;2;2;;;;1;1;;;;1;;;;;79
17 Aug;;;;;;;14;;1;5;14;;4;;6;;;1;;1;1;3;;3;;;1;;1;;;;;2;;57
18 Aug;2;1;1;;;1;19;;;10;18;;1;2;;;;2;1;2;1;8;;;;;;;1;;;;;;;70
20 Aug;;;;;;2;16;;2;4;24;;2;;;;2;1;3;;1;9;;;;;1;;1;;4;;;;;72
21 Aug;2;;;;;1;15;1;8;5;30;;5;1;2;;1;2;2;;;2;1;;;;;2;;;;;;2;;82
22 Aug;;1;2;;;1;17;;6;16;25;;1;1;3;;;3;5;3;;6;1;1;;;1;;;;;;1;;;94
23 Aug;2;;;;;;17;;1;12;19;;15;;2;;1;2;4;1;;3;2;1;1;;1;;;1;;;;1;;86
24 Aug;3;;;;;1;16;;3;3;23;;3;;2;;1;5;1;;5;6;2;1;;;2;;;1;;;;1;;79
25 Aug;3;2;;;;;16;;1;25;27;;9;1;4;;1;2;3;1;;2;;;;;1;;1;;;;;;;99
26 Aug;;2;1;;;2;6;;;30;30;;2;;2;;;2;2;1;1;2;;;;;;;1;2;;;;;;86
27 Aug;;2;;;1;;11;;;33;30;;9;1;2;;4;3;3;2;;6;1;6;;;3;2;;1;;;;;;120
28 Aug;11;2;;;;;10;;2;28;20;;3;;5;;;1;3;2;;7;1;2;;;5;2;;;;;;1;;105
29 Aug;6;2;;;;1;18;;;10;21;;8;1;3;;;;11;;;6;;2;;;;;;1;;;;2;;92
30 Aug;6;3;4;;;;9;;;15;26;1;5;1;2;;;1;;1;1;3;2;;;;;1;;;1;;;;;82
31 Aug;2;3;;;;2;14;;8;8;21;;1;;1;;1;2;2;;;3;2;;;;4;;;;;;;;;74
1 Sep;3;2;4;;;;17;;2;14;26;;3;;1;;;3;2;;;4;1;;;2;1;;;2;1;;;;;88
2 Sep;2;5;1;;;2;17;;1;31;29;;1;;4;;1;;6;;1;2;1;4;1;;1;;1;;;;;;;111
3 Sep;4;4;1;;;2;15;;4;18;34;;27;1;4;;2;;2;;1;3;3;3;2;1;1;;;;1;;;1;;134
4 Sep;2;9;;;;1;6;;1;5;29;;7;1;;;;3;4;3;;4;;1;;;5;;;;1;;;;;82
5 Sep;2;10;;;1;1;13;;;10;27;1;8;;6;;;2;9;;;6;1;2;;1;;;1;;2;;;5;;108
6 Sep;2;7;;;;1;9;;;8;30;;7;1;1;;;1;3;1;1;2;1;1;;1;5;;1;2;;;;;;85
7 Sep;3;11;3;;;;22;;;6;31;;3;2;2;;3;1;3;1;1;4;;1;;2;2;1;;;2;;1;;;105
8 Sep;2;12;;;;1;21;;2;6;32;;8;;1;;1;2;2;;;3;1;1;;;3;1;;;;;;1;;100
9 Sep;2;14;;;;1;17;;3;10;38;;2;1;1;;;;5;2;;1;1;1;;1;3;2;;;;;1;;;106
